All images under CC0 licence, except images from wikipedia (CC-BY SA, published by the german government)
11-1_roundabout, https://upload.wikimedia.org/wikipedia/commons/5/54/2008_03_12_-_UMD_-_Roundabout_viewed_from_Art_Soc_Bldg_4.JPG, 0
11-1_parking_1https://upload.wikimedia.org/wikipedia/commons/9/9e/Station_Road_Car_Park%2C_Ballycastle_-_geograph.org.uk_-_1728435.jpg, 0
11-1_parking_2, https://live.staticflickr.com/2132/2285285296_c1526cf7fe_b.jpg, 0
11-1_crossing_aid, https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kombinierte_Querungsanlage_Radweg_Zebrastreifen.jpg/440px-Kombinierte_Querungsanlage_Radweg_Zebrastreifen.jpg, 0
11-1_speed_bump, https://unsplash.com/photos/SkirOgI7l78, 0
11-1_bollard, https://unsplash.com/photos/wN2ybujjtjI, 0
11-1_manhole_cover_1, https://unsplash.com/photos/k0y4BY-8FnE, 0
11-1_manhole_cover_2, https://unsplash.com/photos/t3aLpRX8joc, 0
11-1_puddle, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Olonets.jpg/225px-Olonets.jpg, 0
11-1_grating, https://c1.staticflickr.com/9/8159/7239301012_2871473045_b.jpg, 0
11-1_crash_absorber, https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Grafton_Gully_Turnoff_On_State_Highway_16.jpg/440px-Grafton_Gully_Turnoff_On_State_Highway_16.jpg, 0
12-1_vegetation_1, https://unsplash.com/photos/oGLxW6lUBO0, 0
12-1_vegetation_2, https://unsplash.com/photos/FaaZgfFNIwA, 0
12-1_building, https://unsplash.com/photos/TiVPTYCG_3E, 0
12-1_bus_shelter, https://unsplash.com/photos/7Z1qxrjc1FI, 0
12-1_tunnel, https://unsplash.com/photos/CD4WHrWio6Q, 0
12-1_bridge, https://unsplash.com/photos/tx3YTxZn6RA, 0
12-1_fence_1, https://unsplash.com/photos/aSQH6RAZxlc, 0
12-1_fence_2, https://unsplash.com/photos/tYtH5KShhvs, 0
12-1_bench, https://unsplash.com/photos/8IRGh-u3w0o, 0
12-1_body_of_water, https://unsplash.com/photos/fTfMnAkRNxI, 0
12-1_garage_1, https://unsplash.com/photos/ApQ6sAI6KaA, 0
12-1_garage_2, https://unsplash.com/photos/Z7FWYzJXGQs, 0
12-1_billboard, https://unsplash.com/photos/-c_LxZzVUnY, 0
12-1_billboard_2, https://unsplash.com/photos/yNGVI8Dd07w, 0
12-1_phone_box, https://unsplash.com/photos/xg2wSOrZT2Y, 0
12-1_post_box, https://unsplash.com/photos/61qBPJeUYcE, 0
12_1_roadwork, https://upload.wikimedia.org/wikipedia/commons/6/6e/Roadwork_in_Västra_Frölunda.JPG, 0
12_1_advertising_pillar, https://upload.wikimedia.org/wikipedia/commons/0/03/Rostock_Litfasssaeule_Gerhart-Hauptmann-Strasse_2011-09-10.jpg, 0
12-1_overhead_structure, https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/A_8_Dreieck_Inntal_%282009%29.jpg/1920px-A_8_Dreieck_Inntal_%282009%29.jpg, 0
13-2_car_1, https://unsplash.com/photos/SuD4h8Gpgok, 0
13-2_car_2, https://unsplash.com/photos/KDD5Zt9bDcA, 0
13-2_truck_1, https://unsplash.com/photos/aAPCWefn97A, 0
13-2_truck_2, https://unsplash.com/photos/4GYGZSIto4I, 0
13-2_bus_1, https://unsplash.com/photos/SOxpZKTSPRM, 0
13-2_bus_2, https://unsplash.com/photos/ec1vLbuyjZ8, 0
13-2_bendyBus_front, https://unsplash.com/photos/ec1vLbuyjZ8, 1
13-2_bendyBus_back, https://unsplash.com/photos/ec1vLbuyjZ8, 1
13-2_bus_3, https://unsplash.com/photos/T5jzpRTVF1U, 0
13-2_motorcycle_1, https://unsplash.com/photos/4ixHdlcROPI, 0
13-2_motorcycle_2, https://unsplash.com/photos/9mRHBxHdxNU, 0
13-2_bicycle_1, https://unsplash.com/photos/yJV41IpTZlM, 0
13-2_bicycle_2, https://unsplash.com/photos/rUBQ9c7yJvU, 0
13-2_bicycle_3, https://unsplash.com/photos/y8xEyP6u_PM, 0
13-2_pedestrian, https://unsplash.com/photos/9kYDNjsIPbs, 0
13-2_pushable_pullable_1, https://unsplash.com/photos/KwfbQbg7WsA, 0
13-2_pushable_pullable_2, https://unsplash.com/photos/bvxvOjH82FI, 0
13-2_pushable_pullable_3, https://unsplash.com/photos/EycLvPp1vS4, 0
13-2_wheelchair, https://unsplash.com/photos/9Fw_XdecPps, 0
13-2_personal_mobility_device_1, https://unsplash.com/photos/9Fw_XdecPps, 0
13-2_personal_mobility_device_2, https://unsplash.com/photos/XTpzi90i3F8, 0
13-2_personal_moblity_device_3, https://unsplash.com/photos/jg4Fun-5v5o, 0
13-2_trailer, https://unsplash.com/photos/tHYqG-huyGg, 0
13-2_rail, https://unsplash.com/photos/Tp8Dqts-VMQ, 0
13-2_carriage, https://unsplash.com/photos/I0C1zdto_YA, 0
13-3_emergency_1, https://unsplash.com/photos/vocC_NHOUXs, 0
13-3_emergency_2, https://unsplash.com/photos/MCqIbNCRO-k, 0
13-3_emergency_3, https://unsplash.com/photos/U4qI60Hop28, 0
13-3_emergency_4, https://i1.wp.com/colorful-germany.de/wp-content/uploads/2019/08/antisemitismus_0149.jpg?fit=1200%2C800&ssl=1, 0
13-3_construction_1, https://unsplash.com/photos/DKr6BEdI2sE, 0
13-3_construction_2, https://unsplash.com/photos/jibUsRaauLY, 0
13-3_construction_3, https://cdn.pixabay.com/photo/2013/10/08/20/30/road-construction-192893_960_720.jpg, 0
13-3_street_cleaning_1, https://unsplash.com/photos/stzGl8p5Vio, 0
13-3_street_cleaning_2, https://unsplash.com/photos/q-AnFK9-rwQ, 0
13-3_trolleybus, https://unsplash.com/photos/Td0Z3uBW7T4, 0
13-3_child, https://c.pxhere.com/photos/7f/a0/children_country_road_country_running_gil_jogging-1089941.jpg!d, 0
13-3_wheelchair_2, https://eyeonohio.com/wp-content/uploads/2020/05/Empty-Wheelchair-stock-photo.jpg, 0
13-3_personal_mobility_device, https://foto.wuestenigel.com/wp-content/uploads/api/parkende-lime-e-scooter-mit-blick-auf-koln.jpeg, 0
13-3_car_trailer, http://www.huckinsforge.com/wp-content/gallery/heavy-duty-car-trailer/trailer-on-car.jpg, 0
13-3_caravan, https://upload.wikimedia.org/wikipedia/commons/c/c8/Caravan.jpg, 0
13-3_train_wagon, https://upload.wikimedia.org/wikipedia/commons/a/a4/Goods_(Wagon)_Train.JPG, 0
14-1_animal, https://unsplash.com/photos/ppKcYi1CXcI, 0
14-1_play_equipment, https://unsplash.com/photos/KtYQeUDoVPM, 0
14-1_misc_1, https://live.staticflickr.com/3708/12996774225_09d0dfa0dd_b.jpg, 0
14-1_misc_2, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/2008-07-12_Blue_AW_trash_container_at_NCSSM.jpg/1024px-2008-07-12_Blue_AW_trash_container_at_NCSSM.jpg, 0
14-2_dog, https://unsplash.com/photos/Crj3gU0aJsU, 0
14-2_cat, https://unsplash.com/photos/ZhBVzf-RvsA, 0
14-2_horse, https://unsplash.com/photos/Huza8QOO3tc, 0
14-2_bird, https://unsplash.com/photos/FrmYKiL4gqs, 0
14-2_wild_1, https://unsplash.com/photos/414NZVxzc20, 0
14-2_wild_2, https://unsplash.com/photos/B8xmtKWLrVo, 0
15-2_green, https://upload.wikimedia.org/wikipedia/commons/3/36/Traffic_light_green_Drammen_(5).jpg, 0
15-2_amber, https://live.staticflickr.com/2588/3743551779_841e0e14d4_b.jpg, 0
15-2_red, https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Red_traffic_signal%2C_Stamford_Road%2C_Singapore_-_20111210-01.jpg/2592px-Red_traffic_signal%2C_Stamford_Road%2C_Singapore_-_20111210-01.jpg, 0
15-2_red_amber, https://upload.wikimedia.org/wikipedia/commons/7/70/Traffic_light_red_and_yellow_Drammen_(2).jpg, 0
15-2_lane_green, https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Parking_ramp_lane_control.jpg/220px-Parking_ramp_lane_control.jpg, 0
15-2_amber_left, https://upload.wikimedia.org/wikipedia/commons/c/c6/Zeichen_616-30_-_fahrbare_Absperrtafel_mit_Blinkpfeil_-_große_Ausführung%2C_StVO_1997.svg, 0
15-2_amber_right, https://upload.wikimedia.org/wikipedia/commons/c/c6/Zeichen_616-30_-_fahrbare_Absperrtafel_mit_Blinkpfeil_-_große_Ausführung%2C_StVO_1997.svg, 1
15-2_active, https://live.staticflickr.com/8696/16876733620_263a10fb68_b.jpg, 0
15-2_inactive, https://live.staticflickr.com/440/18956222408_160fedd055_b.jpg, 0
15-2_bus, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Public_transportation_traffic_lights_in_NL_and_BE.svg/800px-Public_transportation_traffic_lights_in_NL_and_BE.svg.png, 1

